row_index,user_id,field,expected,predicted
4,user_007,issue_type,broken_part,crack
5,user_005,risk_flags,claim_mismatch;user_history_risk;manual_review_required,claim_mismatch;user_history_risk;wrong_object_part
5,user_005,issue_type,scratch,dent
5,user_005,object_part,rear_bumper,quarter_panel
5,user_005,severity,low,none
6,user_006,issue_type,unknown,none
7,user_003,risk_flags,blurry_image,none
8,user_008,risk_flags,claim_mismatch;non_original_image;user_history_risk;manual_review_required,manual_review_required;user_history_risk
8,user_008,object_part,front_bumper,hood
8,user_008,claim_status,contradicted,supported
8,user_008,valid_image,false,true
8,user_008,severity,high,medium
10,user_010,severity,medium,high
11,user_011,severity,medium,low
12,user_012,severity,low,medium
13,user_018,issue_type,crack,glass_shatter
13,user_018,severity,medium,high
14,user_020,evidence_standard_met,true,false
14,user_020,risk_flags,damage_not_visible;user_history_risk;manual_review_required,manual_review_required;user_history_risk
14,user_020,issue_type,none,scratch
14,user_020,claim_status,contradicted,not_enough_information
14,user_020,severity,none,unknown
14,user_020,supporting_image_ids,img_1,none
15,user_015,severity,medium,high
16,user_030,object_part,seal,package_side
16,user_030,severity,medium,high
17,user_031,object_part,package_side,box
19,user_033,risk_flags,wrong_object;claim_mismatch;user_history_risk;manual_review_required,manual_review_required;user_history_risk
19,user_033,issue_type,unknown,crushed_packaging
19,user_033,object_part,unknown,box
19,user_033,claim_status,contradicted,supported
19,user_033,severity,low,high
20,user_034,evidence_standard_met,true,false
20,user_034,issue_type,none,torn_packaging
20,user_034,claim_status,contradicted,not_enough_information
20,user_034,valid_image,true,false
20,user_034,severity,none,unknown
20,user_034,supporting_image_ids,img_1;img_2,none
